Filename	Sublocation	Perturbation
bin5particle377.bmp	0	None
bin5particle429.bmp	1	None
bin5particle202.bmp	2	None
bin5BADparticle98.bmp	3	None
bin5particle430.bmp	4	None
bin5particle405.bmp	5	None
bin5particle34.bmp	6	None
bin5BADparticle60.bmp	7	None
bin5BADparticle48.bmp	8	None
bin5particle347.bmp	9	None
bin5particle19.bmp	10	None
bin5particle227.bmp	11	None
bin5particle350.bmp	12	None
bin5particle327.bmp	13	None
bin5particle394.bmp	14	None
bin5particle72.bmp	15	None
bin5particle151.bmp	16	None
bin5particle210.bmp	17	None
bin5particle140.bmp	18	None
bin5particle101.bmp	19	None
bin5particle459.bmp	20	None
bin5particle45.bmp	21	None
bin5particle143.bmp	22	None
bin5particle103.bmp	23	None
bin5BADparticle43.bmp	24	None
bin5particle250.bmp	25	None
bin5particle116.bmp	26	None
bin5particle58.bmp	27	None
bin5BADparticle57.bmp	28	None
bin5BADparticle20.bmp	29	None
bin5particle174.bmp	30	None
bin5particle226.bmp	31	None
bin5particle373.bmp	32	None
bin5particle449.bmp	33	None
bin5particle277.bmp	34	None
bin5particle360.bmp	35	None
bin5particle432.bmp	36	None
bin5particle249.bmp	37	None
bin5particle252.bmp	38	None
bin5particle332.bmp	39	None
bin5particle29.bmp	40	None
bin5particle128.bmp	41	None
bin5particle239.bmp	42	None
bin5particle299.bmp	43	None
bin5particle88.bmp	44	None
bin5BADparticle79.bmp	45	None
bin5particle322.bmp	46	None
bin5particle450.bmp	47	None
bin5particle94.bmp	48	None
bin5BADparticle7.bmp	49	None
bin5particle399.bmp	50	None
bin5particle401.bmp	51	None
bin5particle153.bmp	52	None
bin5particle396.bmp	53	None
bin5BADparticle11.bmp	54	None
bin5particle422.bmp	55	None
bin5BADparticle12.bmp	56	None
bin5particle398.bmp	57	None
bin5particle51.bmp	58	None
bin5particle105.bmp	59	None
bin5particle393.bmp	60	None
bin5BADparticle38.bmp	61	None
bin5particle311.bmp	62	None
bin5particle6.bmp	63	None
bin5particle268.bmp	64	None
bin5particle237.bmp	65	None
bin5particle30.bmp	66	None
bin5BADparticle23.bmp	67	None
bin5BADparticle68.bmp	68	None
bin5BADparticle34.bmp	69	None
bin5particle354.bmp	70	None
bin5particle85.bmp	71	None
bin5particle217.bmp	72	None
bin5particle247.bmp	73	None
bin5particle343.bmp	74	None
bin5BADparticle26.bmp	75	None
bin5particle222.bmp	76	None
bin5particle26.bmp	77	None
bin5particle436.bmp	78	None
bin5particle41.bmp	79	None
bin5particle3.bmp	80	None
bin5particle24.bmp	81	None
bin5BADparticle33.bmp	82	None
bin5BADparticle74.bmp	83	None
bin5particle115.bmp	84	None
bin5particle364.bmp	85	None
bin5particle368.bmp	86	None
bin5BADparticle64.bmp	87	None
bin5particle119.bmp	88	None
bin5particle288.bmp	89	None
bin5BADparticle29.bmp	90	None
bin5particle372.bmp	91	None
bin5BADparticle81.bmp	92	None
bin5BADparticle56.bmp	93	None
bin5particle306.bmp	94	None
bin5particle321.bmp	95	None
bin5particle400.bmp	96	None
bin5particle214.bmp	97	None
bin5particle326.bmp	98	None
bin5particle86.bmp	99	None
79	21
